brand,model,model_year,milage,fuel_type,transmission,accident,price,engine_hp,brand_id,model_id,fuel_type_id,transmission_norm,age
Jaguar,XF 35t R-Sport,2017,48,Gasoline,A/T,1,30000,340.0,21,1838,3,0,8
Lexus,ES 330 Base,2005,41,Gasoline,5-Speed A/T,0,11100,225.0,27,568,3,0,20
Land,Rover Discovery Sport SE R-Dynamic,2020,21,Gasoline,A/T,0,37998,232.0,26,1389,3,0,5
Porsche,Cayman GTS,2015,12,Gasoline,7-Speed A/T,0,72000,340.0,43,436,3,0,10
Genesis,G90 3.3T Premium,2021,10,Gasoline,8-Speed A/T,0,53950,365.0,16,757,3,0,4
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,6-Speed Manual,0,47999,315.0,54,829,3,1,2
Hyundai,Sonata Hybrid Limited,2015,66,Hybrid,A/T,1,15900,199.0,19,1588,4,0,10
Audi,RS 7 4.0T Prestige,2014,60,Gasoline,A/T,1,45000,560.0,3,1311,3,0,11
BMW,740 Li,2012,85,Gasoline,6-Speed A/T,0,18500,326.0,4,125,3,0,13
Mercedes-Benz,GLS 450 Base 4MATIC,2020,18,Hybrid,9-Speed A/T,1,80000,362.0,36,776,4,0,5
BMW,M6 Base,2016,26,Gasoline,7-Speed A/T,0,55000,560.0,4,986,3,0,9
Subaru,Forester 2.5 X,2004,211,Gasoline,Manual,0,2300,165.0,50,721,3,1,21
Hyundai,Elantra N Base,2023,4,Gasoline,6-Speed Manual,0,34000,276.0,19,583,3,1,2
Kia,Niro Plug-In Hybrid EX Premium,2022,37,Hybrid,6-Speed A/T with Auto-Shift,0,31995,170.0,24,1155,4,0,3
Rivian,R1S Adventure Package,2023,3,Electric,1-Speed A/T,0,92000,835.0,45,1277,2,0,2
Mercedes-Benz,SLC 300 Base,2018,33,Gasoline,9-Speed A/T,1,29900,241.0,36,1498,3,0,7
BMW,435 Gran Coupe i,2016,76,Gasoline,8-Speed A/T,0,24950,300.0,4,72,3,0,9
Jeep,Grand Cherokee Summit,2020,31,Gasoline,8-Speed A/T,0,39366,369.0,22,847,3,0,5
Lexus,RC 350 Base,2015,48,Gasoline,Transmission w/Dual Shift Mode,0,32900,306.0,27,1292,3,2,10
BMW,525 i,2005,91,Gasoline,6-Speed A/T,0,8900,215.0,4,96,3,0,20
Toyota,Corolla LE,2003,125,Gasoline,Manual,1,4995,130.0,53,499,3,1,22
Cadillac,CT5-V Blackwing,2023,2,Gasoline,10-Speed A/T,0,104900,464.0,8,367,3,0,2
GMC,Acadia SLT-1,2012,116,Gasoline,6-Speed A/T,0,7900,288.0,15,247,3,0,13
Lexus,LC 500 Base,2020,38,Gasoline,10-Speed A/T,0,75950,447.0,27,923,3,0,5
BMW,i8 Base,2019,42,Plug-In Hybrid,Transmission w/Dual Shift Mode,0,86000,369.0,4,1893,5,2,6
Lexus,ES 300h Base,2013,87,Hybrid,CVT Transmission,0,17995,200.0,27,567,4,0,12
Cadillac,CT5-V V-Series,2022,4,Gasoline,A/T,1,55655,341.0,8,368,3,0,3
BMW,540 i xDrive,2020,27,Gasoline,A/T,0,39998,232.0,4,105,3,0,5
Chevrolet,Express 1500 Work Van,2014,140,Gasoline,A/T,1,14500,195.0,9,654,3,0,11
Jeep,Gladiator Rubicon,2022,27,Gasoline,A/T,0,47500,285.0,22,818,3,0,3
BMW,Z4 sDrive28i,2014,37,Gasoline,Transmission w/Dual Shift Mode,0,27000,240.0,4,1880,3,2,11
Land,Rover LR4 HSE LUX Landmark Edition,2016,144,Gasoline,8-Speed A/T,1,18000,340.0,26,1394,3,0,9
Cadillac,XT4 Sport,2019,44,Gasoline,9-Speed A/T,0,28900,237.0,8,1854,3,0,6
BMW,750 750i xDrive,2021,11,Gasoline,A/T,0,73998,502.0,4,129,3,0,4
Bentley,Arnage R,2005,8,Gasoline,4-Speed A/T,0,47350,400.0,5,267,3,0,20
Lincoln,Aviator Reserve AWD,2020,51,Gasoline,A/T,0,47698,341.0,28,293,3,0,5
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69,Gasoline,Transmission w/Dual Shift Mode,0,36500,550.0,36,220,3,2,9
RAM,ProMaster 3500 High Roof,2021,148,Gasoline,6-Speed A/T,0,32662,304.0,44,1219,3,0,4
Ford,Utility Police Interceptor Base,2013,105,E85 Flex Fuel,A/T,1,6600,300.0,14,1743,1,0,12
Audi,A5 2.0T Premium,2011,92,Gasoline,Transmission w/Dual Shift Mode,0,9995,211.0,3,176,3,2,14
Nissan,GT-R Premium,2010,16,Gasoline,Transmission w/Dual Shift Mode,0,69500,485.0,39,785,3,2,15
Toyota,Corolla LE,2010,72,Gasoline,A/T,1,9995,132.0,53,499,3,0,15
Rivian,R1S Adventure Package,2023,2,Electric,A/T,0,94000,835.0,45,1277,2,0,2
Mercedes-Benz,C-Class C300 4MATIC,2022,13,Gasoline,A/T,0,44798,232.0,36,341,3,0,3
Porsche,Cayenne E-Hybrid S,2016,96,Plug-In Hybrid,Transmission w/Dual Shift Mode,1,23000,416.0,43,425,5,2,9
Chevrolet,Express 1500 Work Van,2011,93,E85 Flex Fuel,4-Speed A/T,0,22495,339.0,9,654,1,0,14
INFINITI,Q70h Base,2016,53,Hybrid,7-Speed A/T,1,28998,360.0,20,1254,4,0,9
Audi,A7 Premium Plus,2020,25,Hybrid,A/T,0,49998,341.0,3,197,4,0,5
Audi,Q7 3.0T Premium Plus,2015,99,Gasoline,8-Speed A/T,0,9995,280.0,3,1247,3,0,10
Lucid,Air Pure,2023,1,Electric,A/T,0,86900,620.0,30,259,2,0,2
Audi,TTS 2.0T Premium Plus,2012,73,Gasoline,6-Speed A/T,0,25999,265.0,3,1660,3,0,13
BMW,650 Gran Coupe i xDrive,2015,41,Gasoline,8-Speed A/T,0,30000,445.0,4,114,3,0,10
Subaru,Forester Premium,2021,42,Gasoline,A/T CVT,0,27899,213.0,50,725,3,0,4
Mercedes-Benz,AMG C AMG C 63,2016,62,Gasoline,Transmission w/Dual Shift Mode,0,40000,469.0,36,211,3,2,9
Land,Rover LR3 HSE,2006,154,Gasoline,6-Speed A/T,1,9950,300.0,26,1392,3,0,19
BMW,X7 xDrive40i,2019,35,Gasoline,A/T,0,53998,341.0,4,1815,3,0,6
Ford,Transit Connect XLT,2015,194,Gasoline,6-Speed A/T,0,9888,169.0,14,1714,3,0,10
Lexus,LX 570 Three-Row,2021,21,Gasoline,Transmission w/Dual Shift Mode,0,89999,383.0,27,933,3,2,4
Porsche,911 Carrera S,2013,18,Gasoline,7-Speed Manual,0,86900,400.0,43,153,3,1,12
Dodge,Ram 2500 Laramie Quad Cab,2006,218,Gasoline,4-Speed A/T,0,12990,330.0,11,1342,3,0,19
Nissan,Armada SL,2021,68,Gasoline,7-Speed A/T,1,36500,400.0,39,265,3,0,4
Porsche,Cayman Base,2014,79,Gasoline,Transmission w/Dual Shift Mode,1,42999,275.0,43,434,3,2,11
Mercedes-Benz,GLE 450 GLE 450,2022,25,Hybrid,A/T,0,63998,341.0,36,773,4,0,3
Chevrolet,Monte Carlo SS,2006,67,Gasoline,A/T,1,12000,303.0,9,1110,3,0,19
BMW,M5 Base,2013,86,Gasoline,Transmission w/Dual Shift Mode,0,32000,560.0,4,982,3,2,12
Hyundai,Kona N Base,2023,654,Gasoline,8-Speed A/T with Auto-Shift,0,34599,232.0,19,922,3,0,2
Chevrolet,Monte Carlo SS,2005,75,Gasoline,A/T,0,12500,240.0,9,1110,3,0,20
Land,Rover Range Rover Evoque Pure,2015,84,Gasoline,9-Speed A/T,1,22800,240.0,26,1406,3,0,10
Audi,S7 4.0T Premium Plus,2017,52,Gasoline,Transmission w/Dual Shift Mode,0,39999,450.0,3,1482,3,2,8
GMC,Acadia SLT-1,2011,120,Gasoline,6-Speed A/T,0,7500,288.0,15,247,3,0,14
Alfa,Romeo Stelvio Ti Sport,2020,19,Gasoline,8-Speed A/T,0,35645,232.0,1,1372,3,0,5
Ferrari,FF Base,2016,20,Gasoline,7-Speed A/T,0,149900,651.0,13,704,3,0,9
Kia,K900 5.0L,2017,36,Gasoline,8-Speed A/T,1,23950,420.0,24,919,3,0,8
Ford,E150 XLT,2013,162,E85 Flex Fuel,4-Speed A/T,0,12500,255.0,14,560,1,0,12
Tesla,Model 3 Performance,2022,13,Electric,A/T,0,47000,455.0,52,1085,2,0,3
Toyota,4Runner SR5,2022,28,Gasoline,5-Speed A/T,0,36999,387.0,53,83,3,0,3
Subaru,Forester Base,2020,33,Gasoline,CVT Transmission,0,24000,182.0,50,724,3,0,5
Porsche,Panamera 2,2012,54,Gasoline,A/T,1,26000,300.0,43,1183,3,0,13
Toyota,Tacoma PreRunner,2008,202,Gasoline,A/T,1,8500,236.0,53,1663,3,0,17
RAM,2500 Laramie,2019,65,Diesel,6-Speed A/T,0,65000,370.0,44,26,0,0,6
Kia,Sportage Nightfall,2022,10,Gasoline,6-Speed A/T,0,30990,190.0,24,1605,3,0,3
Cadillac,DTS Base,2010,50,Gasoline,A/T,0,10499,275.0,8,530,3,0,15
Toyota,Land Cruiser Base,1997,213,Gasoline,4-Speed A/T,0,26500,212.0,53,948,3,0,28
Nissan,GT-R Premium,2020,16,Gasoline,A/T,0,114000,565.0,39,785,3,0,5
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,8-SPEED AT,0,51998,190.0,27,1140,3,2,2
Audi,Q7 45 Premium Plus,2021,68,Gasoline,8-Speed A/T,0,36499,248.0,3,1249,3,0,4
Lexus,LX 470 Base,1999,82,Gasoline,A/T,0,25000,230.0,27,931,3,0,26
GMC,Terrain SLE,2022,27,Gasoline,9-Speed A/T,0,27785,201.0,15,1687,3,0,3
Ford,Escape Limited,2012,129,Gasoline,A/T,1,7000,171.0,14,618,3,0,13
Lexus,LS 460 L,2014,107,Gasoline,8-Speed A/T,1,30000,360.0,27,927,3,0,11
Ford,Expedition Platinum,2019,35,Gasoline,10-Speed A/T,0,45500,400.0,14,640,3,0,6
Chevrolet,Malibu LTZ,2010,56,Gasoline,Transmission w/Dual Shift Mode,0,8950,252.0,9,1036,3,2,15
Audi,RS 7 4.0T quattro,2023,3,Gasoline,1-Speed A/T,0,128900,387.0,3,1312,3,0,2
Audi,A5 2.0T Premium Plus,2015,82,Gasoline,8-Speed A/T,0,17000,220.0,3,177,3,0,10
Genesis,G70 2.0T,2023,5,Gasoline,A/T,0,42850,232.0,16,750,3,0,2
Chevrolet,Trailblazer LS,2021,20,Gasoline,9-Speed A/T,0,22999,208.0,9,1708,3,0,4
Scion,tC Base,2013,178,Gasoline,6-Speed A/T,1,7100,180.0,49,1895,3,0,12
Lincoln,MKZ Hybrid Base,2014,79,Hybrid,A/T,0,15500,188.0,28,1016,4,0,11
Ford,Transit-350 XL,2018,95,E85 Flex Fuel,A/T,0,43000,275.0,14,1717,1,0,7
Ford,Explorer Timberline,2021,25,Gasoline,10-Speed A/T,1,39951,269.0,14,649,3,0,4
Volvo,XC90 3.2,2011,88,Gasoline,A/T,1,11500,235.0,55,1824,3,0,14
Chevrolet,Avalanche LTZ,2013,98,E85 Flex Fuel,6-Speed A/T,1,27499,320.0,9,281,1,0,12
Audi,TT RS 2.5T,2018,21,Gasoline,Transmission w/Dual Shift Mode,0,76000,400.0,3,1657,3,2,7
Lincoln,Navigator L,2008,95,Gasoline,A/T,0,10900,300.0,28,1144,3,0,17
Hyundai,Elantra GLS,2010,107,Gasoline,4-Speed A/T,1,6250,138.0,19,581,3,0,15
Audi,SQ5 3.0T Premium Plus,2016,60,Gasoline,Transmission w/Dual Shift Mode,1,24700,354.0,3,1506,3,2,9
Mitsubishi,Lancer Evolution GSR,2012,33,Gasoline,5-Speed Manual,0,34999,291.0,38,942,3,1,13
Tesla,Model Y Performance,2023,500,Electric,1-Speed A/T,0,60000,455.0,52,1109,2,0,2
Mercedes-Benz,Maybach S S 600,2016,108,Gasoline,7-Speed A/T,0,63500,523.0,36,1057,3,0,9
Nissan,GT-R Premium,2017,38,Gasoline,Transmission w/Dual Shift Mode,0,149500,565.0,39,785,3,2,8
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74,Gasoline,A/T,0,44798,350.0,36,777,3,0,7
Chevrolet,Blazer Premier,2019,56,Gasoline,9-Speed A/T,0,34562,304.0,9,308,3,0,6
Mazda,CX-9 Grand Touring,2021,47,Gasoline,6-Speed A/T,1,32541,213.0,34,391,3,0,4
Ford,Expedition Max Limited,2022,26,Gasoline,A/T,0,65900,440.0,14,638,3,0,3
Nissan,Titan XD SV,2020,10,Gasoline,9-Speed A/T,0,47214,384.0,39,1699,3,0,5
Lexus,LX 570 Three-Row,2019,19,Gasoline,8-Speed A/T,0,76900,383.0,27,933,3,0,6
Chevrolet,Traverse Premier,2020,52,Gasoline,A/T,0,35800,310.0,9,1721,3,0,5
Mercedes-Benz,Sprinter High Roof,2014,65,Diesel,7-Speed A/T,1,54999,188.0,36,1616,0,0,11
BMW,X5 3.0i,2004,140,Gasoline,Transmission w/Dual Shift Mode,0,6730,225.0,4,1795,3,2,21
Ford,Fusion SE,2018,76,Gasoline,A/T,1,14950,181.0,14,738,3,0,7
Lincoln,MKZ Base,2015,117,Gasoline,A/T,0,12000,240.0,28,1015,3,0,10
Genesis,G90 5.0 Ultimate,2017,26,Gasoline,Transmission w/Dual Shift Mode,0,33600,420.0,16,758,3,2,8
Lexus,LC 500 Base,2022,2,Gasoline,A/T,0,99950,447.0,27,923,3,0,3
Ford,Shelby GT500 Base,2014,16,Gasoline,6-Speed Manual,0,61900,430.0,14,1533,3,1,11
Saturn,Sky Base,2008,15,Gasoline,A/T,0,18500,173.0,48,1582,3,0,17
Audi,RS Q8 4.0T quattro,2022,11,Gasoline,8-Speed A/T,0,119900,387.0,3,1314,3,0,3
Toyota,Land Cruiser,2016,50,Gasoline,A/T,0,65998,369.0,53,947,3,0,9
Mercedes-Benz,SL-Class SL 550,2013,115,Gasoline,Transmission w/Dual Shift Mode,1,36000,429.0,36,1491,3,2,12
Porsche,911 Carrera C2S,2005,28,Gasoline,6-Speed Manual,0,63500,355.0,43,149,3,1,20
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,52,Gasoline,Transmission w/Dual Shift Mode,0,32000,375.0,36,221,3,2,7
Ford,Taurus X Limited,2008,149,Gasoline,A/T,0,3900,263.0,14,1676,3,0,17
BMW,440 Gran Coupe i,2018,39,Gasoline,8-Speed A/T,1,31750,320.0,4,76,3,0,7
Honda,S2000 CR,2008,82,Gasoline,6-Speed Manual,0,28500,237.0,17,1459,3,1,17
Acura,Integra w/A-Spec Tech Package,2023,4,Gasoline,Variable,0,34998,201.0,0,906,3,2,2
Ford,Excursion Limited,2001,109,Gasoline,A/T,0,12749,310.0,14,627,3,0,24
Mercedes-Benz,SL-Class SL500 Roadster,2004,46,Gasoline,A/T,0,18853,302.0,36,1494,3,0,21
Mercedes-Benz,CLS-Class CLS 550,2007,123,Gasoline,A/T,1,104999,382.0,36,356,3,0,18
INFINITI,G35 Sport,2007,37,Gasoline,6-Speed Manual,0,16900,306.0,20,744,3,1,18
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89,Gasoline,6-Speed Manual,0,14500,210.0,54,826,3,1,9
Dodge,Challenger R/T Scat Pack,2022,1,Gasoline,8-Speed A/T,0,53900,432.0,11,442,3,0,3
Lincoln,Navigator L Reserve,2019,67,Gasoline,10-Speed A/T,1,47999,450.0,28,1145,3,0,6
Maserati,Ghibli S Q4,2015,29,Gasoline,8-Speed A/T,0,24900,404.0,32,812,3,0,10
Tesla,Model X Base,2023,8,Electric,A/T,0,93999,670.0,52,1101,2,0,2
Mercedes-Benz,AMG G 63 Base,2018,41,Gasoline,Transmission w/Dual Shift Mode,0,108900,563.0,36,218,3,2,7
Ford,Expedition Limited,2018,99,Gasoline,A/T,0,34998,309.0,14,636,3,0,7
Volkswagen,Routan SE,2012,124,Gasoline,6-Speed A/T,0,5000,283.0,54,1373,3,0,13
Toyota,Highlander XLE,2020,61,Gasoline,8-Speed A/T,1,34084,309.0,53,868,3,0,5
Honda,Civic LX,2016,96,Gasoline,A/T CVT,0,15599,232.0,17,463,3,0,9
Jeep,Wrangler Unlimited Sahara,2017,66,Gasoline,5-Speed A/T,0,31331,304.0,22,1777,3,0,8
Land,Rover Range Rover Supercharged,2008,114,Gasoline,6-Speed A/T,0,9900,400.0,26,1436,3,0,17
Acura,ILX 2.0L w/Premium Package,2015,75,Gasoline,5-Speed A/T,0,14500,150.0,0,876,3,0,10
BMW,M6 Base,2016,46,Gasoline,7-Speed A/T,0,36800,560.0,4,986,3,0,9
BMW,X6 sDrive35i,2016,71,Gasoline,8-Speed A/T,1,35000,300.0,4,1809,3,0,9
Porsche,Cayman S,2014,33,Gasoline,7-Speed A/T,0,49750,325.0,43,438,3,0,11
Lincoln,Corsair Grand Touring,2021,2,Plug-In Hybrid,CVT Transmission,0,49000,266.0,28,502,5,0,4
Cadillac,DTS Luxury II,2008,94,Gasoline,4-Speed A/T,0,10500,275.0,8,532,3,0,17
Cadillac,ATS 3.6L Luxury,2016,25,Gasoline,8-Speed A/T,0,17999,335.0,8,242,3,0,9
GMC,Sierra 1500 SLT,2016,100,Gasoline,8-Speed A/T,0,27995,355.0,15,1545,3,0,9
INFINITI,G37 x,2009,159,Gasoline,A/T,0,8750,328.0,20,748,3,0,16
Ford,Transit-350 XLT,2023,20,Gasoline,10-Speed A/T,0,78499,310.0,14,1718,3,0,2
Cadillac,XTS Luxury,2018,47,Gasoline,6-Speed A/T,1,20850,304.0,8,1860,3,0,7
Nissan,NV Passenger NV3500 HD SL V8,2017,46,Gasoline,A/T,0,41000,375.0,39,1133,3,0,8
Mercedes-Benz,GLS 450 Base 4MATIC,2019,20,Gasoline,9-Speed A/T,0,53800,362.0,36,776,3,0,6
Toyota,Land Cruiser Base,2008,175,Gasoline,6-Speed A/T,1,37900,381.0,53,948,3,0,17
Toyota,Land Cruiser Base,2016,62,Gasoline,8-Speed A/T,0,63500,381.0,53,948,3,0,9
RAM,ProMaster 2500 Window Van High Roof,2016,50,Gasoline,6-Speed A/T,0,65000,280.0,44,1218,3,0,9
Lamborghini,Gallardo Base,2007,39,Gasoline,Transmission w/Dual Shift Mode,0,100000,493.0,25,796,3,2,18
Lincoln,MKZ Base,2011,84,Gasoline,A/T,0,8995,263.0,28,1015,3,0,14
Mercedes-Benz,EQS 450 4MATIC,2023,7,Electric,1-Speed A/T,0,105500,355.0,36,564,2,0,2
Alfa,Romeo Giulia Quadrifoglio,2022,2,Gasoline,8-Speed A/T,0,75900,387.0,1,1367,3,0,3
Chevrolet,Trailblazer LT,2021,51,Gasoline,A/T CVT,0,23995,78.0,9,1709,3,0,4
INFINITI,G37 x,2013,60,Gasoline,A/T,1,15000,328.0,20,748,3,0,12
Maserati,Levante S,2017,54,Gasoline,8-Speed A/T,0,33950,424.0,32,957,3,0,8
Toyota,Highlander Limited,2022,24,Gasoline,8-Speed A/T,0,47498,309.0,53,864,3,0,3
Nissan,Armada SL,2022,15,Gasoline,A/T,0,50998,384.0,39,265,3,0,3
Audi,Q5 Premium,2023,2,Hybrid,A/T,0,42998,232.0,3,1235,4,0,2
Ford,Shelby GT500 Base,2022,2,Gasoline,Transmission w/Dual Shift Mode,0,94999,760.0,14,1533,3,2,3
Lincoln,Navigator L Reserve,2019,65,Gasoline,10-Speed A/T,0,46995,450.0,28,1145,3,0,6
Mercedes-Benz,EQS 450+ Base,2022,16,Electric,1-Speed A/T,0,62479,329.0,36,565,2,0,3
RAM,1500 Laramie,2022,18,Gasoline,A/T,0,47995,369.0,44,10,3,0,3
Lincoln,Town Car Base,2004,37,Gasoline,4-Speed A/T,0,14900,239.0,28,1706,3,0,21
